"Date","Local.Site.Name","County","meanlatitude","meanlongitude","Month","Year","PM2.5","Ozone"
2024-01-22,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,68,NA
2024-01-22,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2024,4,NA
2024-01-22,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,62.5,33
2024-01-22,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,59,NA
2024-01-22,"Linville Falls","Avery",35.972347,-81.933072,1,2024,16,NA
2024-01-22,"Millbrook School","Wake",35.856111,-78.574167,1,2024,62,32
2024-01-22,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2024,46,NA
2024-01-22,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2024,46,NA
2024-01-23,"Bryson City","Swain",35.434767,-83.442133,1,2024,48,NA
2024-01-23,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,23.5,NA
2024-01-23,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,80,NA
2024-01-23,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,75,NA
2024-01-23,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,61,NA
2024-01-23,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,63,NA
2024-01-23,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2024,60,NA
2024-01-23,"Millbrook School","Wake",35.856111,-78.574167,1,2024,63,10
2024-01-23,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2024,51,NA
2024-01-23,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2024,55,NA
2024-01-24,"Bryson City","Swain",35.434767,-83.442133,1,2024,32,NA
2024-01-24,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,18,NA
2024-01-24,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,61,NA
2024-01-24,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,62,NA
2024-01-24,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,54,26
2024-01-24,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,55,NA
2024-01-24,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2024,55,NA
