"Date","Daily.AQI.Value","Local.Site.Name","AQS.Parameter.Description","County","Site.Latitude","Site.Longitude"
2024-10-09,32,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-10-15,32,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-10-21,56,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-10-27,46,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-11-02,35,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-11-08,37,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-11-14,24,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-11-20,47,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-11-26,40,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-12-02,18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-12-08,52,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-12-14,52,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-12-20,25,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-12-26,53,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-01,50,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-02,17,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-03,43,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-04,32,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-05,39,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-06,19,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-07,3,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-08,18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-09,6,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-10,11,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-11,46,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-12,40,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-13,21,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-14,41,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-15,36,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-16,26,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-17,14,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-18,44,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-19,23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-20,13,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-21,20,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-22,28,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-23,31,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-24,14,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-25,8,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-26,8,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-27,13,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-28,0,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-29,1,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-30,21,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-31,11,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-01,19,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-02,33,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-03,38,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-04,25,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-05,12,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-06,34,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-07,42,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-08,48,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-09,62,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-10,47,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-11,10,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-12,6,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-13,11,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-14,23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-15,27,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-16,36,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-17,20,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-18,15,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-19,19,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-20,52,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-21,58,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-22,68,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-23,49,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-24,12,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-25,39,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-26,58,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-27,63,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-28,37,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-29,8,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-01,24,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-02,9,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-03,27,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-04,39,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-05,36,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-06,20,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-07,8,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-08,25,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-09,4,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-10,8,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-11,8,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-12,22,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-13,48,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-14,71,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-15,56,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-16,7,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-17,19,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-18,11,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-19,22,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-20,56,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-21,43,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-22,54,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-23,22,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-24,23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-25,21,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-26,47,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-27,23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-28,17,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-29,29,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-30,50,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-31,39,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
